year,division,place,school,score
2023,Division 1 State,1,Needham High School,335
2023,Division 1 State,2,Acton-Boxborough High School,277.5
2023,Division 1 State,3,Newton North High School,268
2023,Division 1 State,4,Haverhill High School,208
2023,Division 1 State,5,Winchester High School,199
2023,Division 1 State,6,Andover High School,194
2023,Division 1 State,7,Malden Catholic High School,159
2023,Division 1 State,8,Brookline High School,134
2023,Division 1 State,9,Lexington High School,115
2023,Division 1 State,10,Ursuline Academy High School,99
2023,Division 1 State,11,Notre Dame Academy High School,88.5
2023,Division 1 State,12,Framingham High School,79
2023,Division 1 State,13,Central Catholic High School,64
2023,Division 1 State,14,Arlington High School,44
2023,Division 1 State,15,Methuen High School,12
2023,Division 2 State,1,Wellesley High School,426
2023,Division 2 State,2,Chelmsford High School,229.5
2023,Division 2 State,3,Wakefield Memorial High School,219
2023,Division 2 State,4,Belmont High School,195
2023,Division 2 State,5,North Andover High School,184
2023,Division 2 State,6,Boston Latin High School,146
2023,Division 2 State,7,Natick High School,129
2023,Division 2 State,8,Woburn Memorial High School,121.5
2023,Division 2 State,9,Braintree High School,119
2023,Division 2 State,10,Milton High School,108
2023,Division 2 State,11,Reading Memorial High School,77
2023,Division 2 State,12,Billerica Memorial High School,45
2023,Division 2 State,13,Weymouth High School,37
2023,Division 2 State,14,Academy of Notre Dame High Sch,33
2023,Division 2 State,15,Walpole High School,31
2023,Division 2 State,16,Stoneham High School,12
2022,Division 1 State,1,Acton-Boxborough,299
2022,Division 1 State,2,Andover,268
2022,Division 1 State,3,Lexington,255
2022,Division 1 State,4,Brookline,244
2022,Division 1 State,5,Haverhill,227
2022,Division 1 State,6,Ursuline Academy,181
2022,Division 1 State,7,Central Catholic,171
2022,Division 1 State,8,Newton North,160
2022,Division 1 State,9,Framingham,114
2022,Division 1 State,10,Notre Dame Academy - Hingham,86
2022,Division 1 State,11,Braintree,79
2022,Division 1 State,12,Malden Catholic,68
2022,Division 1 State,13,Weymouth,57
2022,Division 1 State,14,Woburn,22
2022,Division 1 State,15,Methuen,10
2022,Division 2 State,1,Wellesley,477.5
2022,Division 2 State,2,Needham,330
2022,Division 2 State,3,Winchester,252
2022,Division 2 State,4,Chelmsford,189
2022,Division 2 State,5,Belmont,165
2022,Division 2 State,6,North Andover,154
2022,Division 2 State,7,Natick,150
2022,Division 2 State,8,Reading,132
2022,Division 2 State,9,Wakefield,123
2022,Division 2 State,10,Watertown,96
2022,Division 2 State,11,Boston Latin School,70.5
2022,Division 2 State,12,Milton,41
2022,Division 2 State,13,Walpole,22
2022,Division 2 State,14,Stoneham,11
2022,Division 2 State,14,Academy of Notre Dame,11
2022,Division 2 State,16,Billerica,6
2021,Division 1 State,1,Acton-Boxborough,350
2021,Division 1 State,2,Brookline,264
2021,Division 1 State,3,Andover,242
2021,Division 1 State,4,Central Catholic,235
2021,Division 1 State,5,Framingham,212
2021,Division 1 State,6,Ursuline Academy,209
2021,Division 1 State,6,Newton North,209
2021,Division 1 State,8,Haverhill,207
2021,Division 1 State,9,Lexington,104
2021,Division 1 State,10,Notre Dame Academy - Hingham,77
2021,Division 1 State,11,Malden Catholic,51
2021,Division 1 State,12,Methuen,34
2021,Division 1 State,13,Weymouth,5
2021,Division 2 State,1,Wellesley,358
2021,Division 2 State,2,Needham,294
2021,Division 2 State,3,Chelmsford,248
2021,Division 2 State,4,Winchester,222
2021,Division 2 State,5,North Andover,212
2021,Division 2 State,6,Milton,181
2021,Division 2 State,7,Belmont,141
2021,Division 2 State,8,Reading,138
2021,Division 2 State,9,Watertown,128
2021,Division 2 State,10,Wakefield,111
2021,Division 2 State,11,Natick,96
2021,Division 2 State,12,Boston Latin School,44
2021,Division 2 State,13,Walpole,43
2021,Division 2 State,14,Woburn,41
2021,Division 2 State,15,Braintree,36
2021,Division 2 State,16,Melrose,8
2021,Division 2 State,17,Burlington,2
2021,Division 2 State,18,Billerica,1
2019,Division 1 State,1,Andover,456.5
2019,Division 1 State,2,Needham,256
2019,Division 1 State,3,Newton North,199
2019,Division 1 State,4,Brookline,188
2019,Division 1 State,5,Acton-Boxborough,184
2019,Division 1 State,6,Lexington,178.5
2019,Division 1 State,7,Framingham,171.5
2019,Division 1 State,8,Chelmsford,153
2019,Division 1 State,9,Arlington,146
2019,Division 1 State,10,North Andover,144
2019,Division 1 State,11,Haverhill,124
2019,Division 1 State,12,Lowell,39
2019,Division 1 State,13,Methuen,34.5
2019,Division 1 State,14,Boston Latin School,31
2019,Division 1 State,15,Braintree,10
2019,Division 2 State,1,Wellesley,430
2019,Division 2 State,2,Central Catholic,279
2019,Division 2 State,3,Ursuline Academy,258
2019,Division 2 State,4,Reading,242
2019,Division 2 State,5,Milton,186
2019,Division 2 State,6,Wakefield,155
2019,Division 2 State,7,Winchester,136
2019,Division 2 State,7,Notre Dame Academy - Hingham,136
2019,Division 2 State,9,Natick,128
2019,Division 2 State,10,Marshfield,116
2019,Division 2 State,11,Belmont,97
2019,Division 2 State,12,Walpole,60
2019,Division 2 State,13,Woburn,37
2019,Division 2 State,14,Burlington,32
2019,Division 2 State,15,Melrose,14
2019,Division 2 State,16,Billerica,11
2019,Division 2 State,17,Stoneham,6
2018,Division 1 State,1,Andover,518
2018,Division 1 State,2,Acton-Boxborough,224
2018,Division 1 State,3,Newton North,206.5
