year	division	place	school	score
2023	North Sectional Championships	1	Acton-Boxborough High School	273
2023	North Sectional Championships	2	Andover High School	228
2023	North Sectional Championships	3	Belmont High School	217
2023	North Sectional Championships	4	Winchester High School	214
2023	North Sectional Championships	5	Haverhill High School	196
2023	North Sectional Championships	6	Wakefield Memorial High School	193
2023	North Sectional Championships	7	Malden Catholic High School	170
2023	North Sectional Championships	7	North Andover High School	170
2023	North Sectional Championships	9	Chelmsford High School	145
2023	North Sectional Championships	10	Lexington High School	133
2023	North Sectional Championships	11	Arlington High School	83
2023	North Sectional Championships	12	Central Catholic High School	78
2023	North Sectional Championships	13	Woburn Memorial High School	55
2023	North Sectional Championships	14	Reading Memorial High School	54
2023	North Sectional Championships	15	Billerica Memorial High School	31
2023	North Sectional Championships	16	Academy of Notre Dame High Sch	30
2023	North Sectional Championships	17	Methuen High School	19
2023	North Sectional Championships	18	Stoneham High School	4
2023	South Sectional Championships	1	Wellesley High School	405
2023	South Sectional Championships	2	Needham High School	397
2023	South Sectional Championships	3	Newton North High School	323
2023	South Sectional Championships	4	Brookline High School	188
2023	South Sectional Championships	5	Boston Latin High School	160
2023	South Sectional Championships	6	Notre Dame Academy High School	157
2023	South Sectional Championships	7	Framingham High School	137
2023	South Sectional Championships	8	Milton High School	115
2023	South Sectional Championships	8	Natick High School	115
2023	South Sectional Championships	10	Ursuline Academy High School	89
2023	South Sectional Championships	11	Braintree High School	77
2023	South Sectional Championships	12	Weymouth High School	46
2023	South Sectional Championships	13	Walpole High School	43
2022	North Sectional Championships	1	Acton-Boxborough	321.5
2022	North Sectional Championships	2	Andover	269
2022	North Sectional Championships	3	Winchester	227
2022	North Sectional Championships	3	Lexington	227
2022	North Sectional Championships	5	Chelmsford	193
2022	North Sectional Championships	6	Belmont	157
2022	North Sectional Championships	7	Haverhill	156
2022	North Sectional Championships	8	Reading	143
2022	North Sectional Championships	9	Central Catholic	138
2022	North Sectional Championships	10	North Andover	133.5
2022	North Sectional Championships	11	Wakefield	128
2022	North Sectional Championships	12	Watertown	78
2022	North Sectional Championships	13	Malden Catholic	65
2022	North Sectional Championships	14	Academy of Notre Dame	28
2022	North Sectional Championships	15	Woburn	26
2022	North Sectional Championships	16	Methuen	21
2022	North Sectional Championships	17	Stoneham	4
2022	North Sectional Championships	18	Billerica	3
2021	North Sectional Championships	1	Acton-Boxborough	356.5
2021	North Sectional Championships	2	Andover	247
2021	North Sectional Championships	3	Central Catholic	218
2021	North Sectional Championships	4	North Andover	206
2021	North Sectional Championships	5	Chelmsford	196
2021	North Sectional Championships	6	Winchester	193
2021	North Sectional Championships	7	Haverhill	190
2021	North Sectional Championships	8	Belmont	146
2021	North Sectional Championships	9	Reading	136
2021	North Sectional Championships	10	Watertown	134
2021	North Sectional Championships	11	Wakefield	108
2021	North Sectional Championships	12	Lexington	95
2021	North Sectional Championships	13	Malden Catholic	44.5
2021	North Sectional Championships	14	Methuen	23
2021	North Sectional Championships	15	Woburn	12
2021	North Sectional Championships	16	Melrose	10
2021	North Sectional Championships	17	Burlington	2
2021	North Sectional Championships	17	Stoneham	2
2021	South Sectional Championships	1	Wellesley	390.5
2021	South Sectional Championships	2	Needham	329
2021	South Sectional Championships	3	Brookline	304
2021	South Sectional Championships	4	Ursuline Academy	222
2021	South Sectional Championships	5	Framingham	221
2021	South Sectional Championships	6	Milton	196
2021	South Sectional Championships	7	Newton North	190
2021	South Sectional Championships	8	Natick	110
2021	South Sectional Championships	9	Braintree	81
2021	South Sectional Championships	10	Boston Latin School	69
2021	South Sectional Championships	11	Notre Dame Academy - Hingham	60
2021	South Sectional Championships	12	Walpole	51.5
2021	South Sectional Championships	13	Notre Dame Hingham	32
2021	South Sectional Championships	14	Weymouth	16
2019	North Sectional Championships	1	Andover	467
2019	North Sectional Championships	2	Central Catholic	254
2019	North Sectional Championships	3	Reading	239
2019	North Sectional Championships	4	Lexington	196
2019	North Sectional Championships	5	Acton-Boxborough	178
2019	North Sectional Championships	6	North Andover	149
