year	division	place	school	score
2023	Division 1 State Championships	1	Needham	335
2023	Division 1 State Championships	2	Acton-Boxborough	277.5
2023	Division 1 State Championships	3	Newton North	268
2023	Division 1 State Championships	4	Haverhill	208
2023	Division 1 State Championships	5	Winchester	199
2023	Division 1 State Championships	6	Andover	194
2023	Division 1 State Championships	7	Malden Catholic	159
2023	Division 1 State Championships	8	Brookline	134
2023	Division 1 State Championships	9	Lexington	115
2023	Division 1 State Championships	10	Ursuline Academy	99
2023	Division 1 State Championships	11	Notre Dame Academy	88.5
2023	Division 1 State Championships	12	Framingham	79
2023	Division 1 State Championships	13	Central Catholic	64
2023	Division 1 State Championships	14	Arlington	44
2023	Division 1 State Championships	15	Methuen	12
2023	Division 2 State Championships	1	Wellesley	426
2023	Division 2 State Championships	2	Chelmsford	229.5
2023	Division 2 State Championships	3	Wakefield Memorial	219
2023	Division 2 State Championships	4	Belmont	195
2023	Division 2 State Championships	5	North Andover	184
2023	Division 2 State Championships	6	Boston Latin	146
2023	Division 2 State Championships	7	Natick	129
2023	Division 2 State Championships	8	Woburn Memorial	121.5
2023	Division 2 State Championships	9	Braintree	119
2023	Division 2 State Championships	10	Milton	108
2023	Division 2 State Championships	11	Reading Memorial	77
2023	Division 2 State Championships	12	Billerica Memorial	45
2023	Division 2 State Championships	13	Weymouth	37
2023	Division 2 State Championships	14	Academy of Notre Dame	33
2023	Division 2 State Championships	15	Walpole	31
2023	Division 2 State Championships	16	Stoneham	12
2022	Division 1 State Championships	1	Acton-Boxborough	299
2022	Division 1 State Championships	2	Andover	268
2022	Division 1 State Championships	3	Lexington	255
2022	Division 1 State Championships	4	Brookline	244
2022	Division 1 State Championships	5	Haverhill	227
2022	Division 1 State Championships	6	Ursuline Academy	181
2022	Division 1 State Championships	7	Central Catholic	171
2022	Division 1 State Championships	8	Newton North	160
2022	Division 1 State Championships	9	Framingham	114
2022	Division 1 State Championships	10	Notre Dame Academy - Hingham	86
2022	Division 1 State Championships	11	Braintree	79
2022	Division 1 State Championships	12	Malden Catholic	68
2022	Division 1 State Championships	13	Weymouth	57
2022	Division 1 State Championships	14	Woburn	22
2022	Division 1 State Championships	15	Methuen	10
2022	Division 2 State Championships	1	Wellesley	477.5
2022	Division 2 State Championships	2	Needham	330
2022	Division 2 State Championships	3	Winchester	252
2022	Division 2 State Championships	4	Chelmsford	189
2022	Division 2 State Championships	5	Belmont	165
2022	Division 2 State Championships	6	North Andover	154
2022	Division 2 State Championships	7	Natick	150
2022	Division 2 State Championships	8	Reading	132
2022	Division 2 State Championships	9	Wakefield	123
2022	Division 2 State Championships	10	Watertown	96
2022	Division 2 State Championships	11	Boston Latin School	70.5
2022	Division 2 State Championships	12	Milton	41
2022	Division 2 State Championships	13	Walpole	22
2022	Division 2 State Championships	14	Stoneham	11
2022	Division 2 State Championships	14	Academy of Notre Dame	11
2022	Division 2 State Championships	16	Billerica	6
2021	Division 1 State Championships	1	Acton-Boxborough	350
2021	Division 1 State Championships	2	Brookline	264
2021	Division 1 State Championships	3	Andover	242
2021	Division 1 State Championships	4	Central Catholic	235
2021	Division 1 State Championships	5	Framingham	212
2021	Division 1 State Championships	6	Ursuline Academy	209
2021	Division 1 State Championships	6	Newton North	209
2021	Division 1 State Championships	8	Haverhill	207
2021	Division 1 State Championships	9	Lexington	104
2021	Division 1 State Championships	10	Notre Dame Academy - Hingham	77
2021	Division 1 State Championships	11	Malden Catholic	51
2021	Division 1 State Championships	12	Methuen	34
2021	Division 1 State Championships	13	Weymouth	5
2021	Division 2 State Championships	1	Wellesley	358
2021	Division 2 State Championships	2	Needham	294
2021	Division 2 State Championships	3	Chelmsford	248
2021	Division 2 State Championships	4	Winchester	222
2021	Division 2 State Championships	5	North Andover	212
2021	Division 2 State Championships	6	Milton	181
2021	Division 2 State Championships	7	Belmont	141
2021	Division 2 State Championships	8	Reading	138
2021	Division 2 State Championships	9	Watertown	128
2021	Division 2 State Championships	10	Wakefield	111
2021	Division 2 State Championships	11	Natick	96
2021	Division 2 State Championships	12	Boston Latin School	44
2021	Division 2 State Championships	13	Walpole	43
2021	Division 2 State Championships	14	Woburn	41
2021	Division 2 State Championships	15	Braintree	36
2021	Division 2 State Championships	16	Melrose	8
2021	Division 2 State Championships	17	Burlington	2
2021	Division 2 State Championships	18	Billerica	1
2019	Division 1 State Championships	1	Andover	456.5
2019	Division 1 State Championships	2	Needham	256
2019	Division 1 State Championships	3	Newton North	199
2019	Division 1 State Championships	4	Brookline	188
2019	Division 1 State Championships	5	Acton-Boxborough	184
2019	Division 1 State Championships	6	Lexington	178.5
2019	Division 1 State Championships	7	Framingham	171.5
2019	Division 1 State Championships	8	Chelmsford	153
2019	Division 1 State Championships	9	Arlington	146
