year,group,event,cutoff
2023,South Sectional Girls & Boys,1 Meter Diving,183 (2 times)
2023,North Sectional Girls & Boys,1 Meter Diving,180 (2 times)
2023,Girls State Division I,1 Meter Diving,190 (2 times)
2023,Girls State Division II,1 Meter Diving,190 (2 times)
2023,Boys State Division I,1 Meter Diving,192 (2 times)
2023,Boys State Division II,1 Meter Diving,192 (2 times)
2023,South Sectional Girls & Boys,200 Medley Relay,2:15.55
2023,North Sectional Girls & Boys,200 Medley Relay,2:16.78
2023,Girls State Division I,200 Medley Relay,2:08.02
2023,Girls State Division II,200 Medley Relay,2:11.93
2023,Boys State Division I,200 Medley Relay,2:03.90
2023,Boys State Division II,200 Medley Relay,2:03.90
2023,South Sectional Girls & Boys,200 Freestyle,2:12.74
2023,North Sectional Girls & Boys,200 Freestyle,2:11.79
2023,Girls State Division I,200 Freestyle,2:10.78
2023,Girls State Division II,200 Freestyle,2:10.94
2023,Boys State Division I,200 Freestyle,1:57.09
2023,Boys State Division II,200 Freestyle,1:57.09
2023,South Sectional Girls & Boys,200 Individual Medley,2:31.98
2023,North Sectional Girls & Boys,200 Individual Medley,2:31.14
2023,Girls State Division I,200 Individual Medley,2:27.01
2023,Girls State Division II,200 Individual Medley,2:30.15
2023,Boys State Division I,200 Individual Medley,2:13.00
2023,Boys State Division II,200 Individual Medley,2:13.00
2023,South Sectional Girls & Boys,50 Freestyle,27.43
2023,North Sectional Girls & Boys,50 Freestyle,27.12
2023,Girls State Division I,50 Freestyle,26.70
2023,Girls State Division II,50 Freestyle,27.00
2023,Boys State Division I,50 Freestyle,23.22
2023,Boys State Division II,50 Freestyle,24.00
2023,South Sectional Girls & Boys,100 Butterfly,1:09.01
2023,North Sectional Girls & Boys,100 Butterfly,1:08.40
2023,Girls State Division I,100 Butterfly,1:07.17
2023,Girls State Division II,100 Butterfly,1:08.33
2023,Boys State Division I,100 Butterfly,59.00
2023,Boys State Division II,100 Butterfly,59.00
2023,South Sectional Girls & Boys,100 Freestyle,1:00.33
2023,North Sectional Girls & Boys,100 Freestyle,1:00.34
2023,Girls State Division I,100 Freestyle,59.30
2023,Girls State Division II,100 Freestyle,59.95
2023,Boys State Division I,100 Freestyle,52.67
2023,Boys State Division II,100 Freestyle,52.67
2023,South Sectional Girls & Boys,500 Freestyle,6:01.73
2023,North Sectional Girls & Boys,500 Freestyle,6:01.73
2023,Girls State Division I,500 Freestyle,5:48.87
