date	title	url
2022-02-14	Needham boys swim and dive wins sectional championship	https://www.wickedlocal.com/story/needham-times/2022/02/14/needham-boys-swim-and-dive-wins-sectional-championship/6791162001/
2022-01-18	Needham swim and dive (6-1) defeats Brookline	https://www.wickedlocal.com/story/needham-times/2022/01/18/needham-swim-and-dive-6-1-defeats-brookline/6561232001/
2021-09-29	Acton-Boxborough girls swim and dive defeats talented Andover, Needham squads	https://www.wickedlocal.com/story/the-beacon/2021/09/29/acton-boxborough-girls-swim-and-dive-defeats-talented-andover-needham-squads/5920982001/
2020-02-26	Needham swimmers compete in state championship	https://www.wickedlocal.com/story/needham-times/2020/02/26/needham-swimmers-compete-in-state/1633892007/
2020-02-19	Boys swim team a force in wake of strong 2019 season	https://www.wickedlocal.com/story/needham-times/2020/02/19/boys-swim-team-force-in/1679352007/
2020-01-30	Natick High swim and dive team gets a little redemption with win at Bay State Conference Championship meet	https://www.wickedlocal.com/story/bulletin-tab/2020/01/30/natick-high-swim-dive-team/1801303007/
2020-01-15	Framingham High freshman Ed Gao helps boys swim and dive team remain unbeaten with victory over Newton North	https://www.wickedlocal.com/story/bulletin-tab/2020/01/15/framingham-high-freshman-ed-gao/1894349007/
2019-12-30	Chelmsford boys swim team beats Needham, Reading	https://www.wickedlocal.com/story/eagle-independent/2019/12/30/strong-chelmsford-boys-swim/1985891007/
2019-10-21	Needham High School swimmers on cusp of historic season	https://www.wickedlocal.com/story/needham-times/2019/10/21/needham-high-school-swimmers-on/2482221007/
2018-12-08	Athlete of the Week: Needham girl Swim and Dive Team	https://www.wickedlocal.com/story/needham-times/2018/12/08/athlete-week-needham-girl-swim/6709105007/
2018-11-13	Newton North swimmers and divers show promise at Sectionals	https://www.wickedlocal.com/story/newton-tab/2018/11/13/newton-north-swimmers-divers-show/8384565007/
2018-11-06	WALPOLE HIGH ROUNDUP: Boys swimmers first at BSC Championship	https://www.wickedlocal.com/story/times-advocate/2018/11/06/walpole-high-roundup-boys-swimmers/9193705007/
2018-10-23	Walpole swim team gets its feet wet with wins	https://www.wickedlocal.com/story/times-advocate/2018/10/23/walpole-swim-team-gets-its/9484566007/
2018-09-24	Newton North girls swimmers make splash under new coach	https://www.wickedlocal.com/story/newton-tab/2018/09/24/newton-north-girls-swimmers-make/10162081007/
2018-02-13	LISTEN: Diving into historic season for the Natick swim &amp; dive team	https://www.wickedlocal.com/story/country-gazette/2018/02/13/listen-diving-into-historic-season/14796912007/
2018-01-04	Boys swimming off to undefeated start	https://www.wickedlocal.com/story/needham-times/2018/01/04/boys-swimming-off-to-undefeated/64660917007/
2017-11-30	Solid season of swimming and diving	https://www.wickedlocal.com/story/needham-times/2017/11/30/solid-season-swimming-diving/64780999007/
2017-11-07	Newton North girls swimmers &amp; divers get best of BSC	https://www.wickedlocal.com/story/newton-tab/2017/11/07/newton-north-girls-swimmers-amp/17222446007/
2017-11-01	Norwood swimmers making good time	https://www.wickedlocal.com/story/transcript-bulletin/2017/11/01/norwood-swimmers-making-good-time/64782953007/
2017-10-19	Rockets ready for what's ahead	https://www.wickedlocal.com/story/needham-times/2017/10/19/rockets-ready-for-what-s/18259853007/
2017-10-17	Newton North girls swimmers &amp; divers keep their eyes on the prizes	https://www.wickedlocal.com/story/newton-tab/2017/10/17/newton-north-girls-swimmers-amp/18275347007/
2017-09-13	NORWOOD HIGH ROUNDUP: Swimmers start season with win	https://www.wickedlocal.com/story/transcript-bulletin/2017/09/13/norwood-high-roundup-swimmers-start/18823821007/
2017-02-22	Fantastic finish for swimmers	https://www.wickedlocal.com/story/needham-times/2017/02/22/fantastic-finish-for-swimmers/64803618007/
2017-02-21	Newton teams swim &amp; dive at States	https://www.wickedlocal.com/story/newton-tab/2017/02/21/newton-teams-swim-dive-at/22419532007/
2017-02-21	Swimmers find some success	https://www.wickedlocal.com/story/wellesley-townsman/2017/02/21/swimmers-find-some-success/64803637007/
2017-01-11	Swimmers off to fast start	https://www.wickedlocal.com/story/wellesley-townsman/2017/01/11/swimmers-off-to-fast-start/64687746007/
2017-01-10	Swimmers start season right	https://www.wickedlocal.com/story/needham-times/2017/01/10/swimmers-start-season-right/22746224007/
2017-01-07	Flyers swim by Newton North	https://www.wickedlocal.com/story/archive/2017/01/07/flyers-swim-by-newton-north/63560247007/
2016-11-02	NORWOOD HIGH ROUNDUP: Swimmers compete at league meet	https://www.wickedlocal.com/story/transcript-bulletin/2016/11/02/norwood-high-roundup-swimmers-compete/24632020007/
