year	division	place	school	score
2023	South Sectional Championships	1	Needham	254
2023	South Sectional Championships	2	Xaverian Brothers	252
2023	South Sectional Championships	3	Boston College High	231
2023	South Sectional Championships	4	Brookline	149
2023	South Sectional Championships	5	Westwood	126
2023	South Sectional Championships	6	Duxbury	120
2023	South Sectional Championships	7	Cohasset	110
2023	South Sectional Championships	8	Framingham	106
2023	South Sectional Championships	9	Holliston	99.5
2023	South Sectional Championships	10	Attleboro	91
2023	South Sectional Championships	11	Natick	88
2023	South Sectional Championships	12	Wellesley	75
2023	South Sectional Championships	13	Quincy	65
2023	South Sectional Championships	14	Nauset	61
2023	South Sectional Championships	15	Newton North	58
2023	South Sectional Championships	16	Nantucket	52
2023	South Sectional Championships	17	Hopkinton	48
2023	South Sectional Championships	18	Bishop Feehan	44
2023	South Sectional Championships	19	Sandwich	38
2023	South Sectional Championships	19	Scituate	38
2023	South Sectional Championships	21	Hanover	32
2023	South Sectional Championships	21	Seekonk	32
2023	South Sectional Championships	23	Plymouth North	27
2023	South Sectional Championships	24	Sharon	26
2023	South Sectional Championships	25	Catholic Memorial	21
2023	South Sectional Championships	26	Dover-Sherborn	19
2023	South Sectional Championships	27	Foxborough	12
2023	South Sectional Championships	28	Dedham	11
2023	South Sectional Championships	29	Marthas Vineyard	8
2023	South Sectional Championships	30	Taunton	6
2023	South Sectional Championships	30	Brockton	6
2023	South Sectional Championships	32	Bridgewater-Raynham	4
2023	South Sectional Championships	33	Apponequet	2
2023	South Sectional Championships	33	Milford	2
2023	South Sectional Championships	35	Oliver Ames	1.5
2022	South Sectional Championships	1	Needham	258
2022	South Sectional Championships	2	Bishop Feehan	231
2022	South Sectional Championships	3	Brookline	216
2022	South Sectional Championships	4	Boston College High	188
2022	South Sectional Championships	5	Duxbury	143
2022	South Sectional Championships	6	Framingham	110
2022	South Sectional Championships	7	Holliston	96
2022	South Sectional Championships	8	Nantucket	80.5
2022	South Sectional Championships	9	Westwood	75
2022	South Sectional Championships	10	Wellesley	74.5
2022	South Sectional Championships	11	Newton North	74
2022	South Sectional Championships	12	Xaverian Brothers	68
2022	South Sectional Championships	13	Natick	59
2022	South Sectional Championships	14	Sharon	56
2022	South Sectional Championships	15	Dover-Sherborn	48
2022	South Sectional Championships	16	Hopkinton	40
2022	South Sectional Championships	17	Sandwich	37.5
2022	South Sectional Championships	18	Scituate	37
2022	South Sectional Championships	19	Silver Lake	34
2022	South Sectional Championships	20	Medfield	32
2022	South Sectional Championships	21	Milford	29
2022	South Sectional Championships	22	Cohasset	28
2022	South Sectional Championships	23	Hanover	26
2022	South Sectional Championships	24	Oliver Ames	24
2022	South Sectional Championships	24	Quincy	24
2022	South Sectional Championships	24	Hingham	24
2022	South Sectional Championships	27	Seekonk	23
2022	South Sectional Championships	28	Norwell	21
2022	South Sectional Championships	29	Bishop Stang	20
2022	South Sectional Championships	30	Taunton	18
2022	South Sectional Championships	31	Old Rochester	17
2022	South Sectional Championships	32	Attleboro	16
2022	South Sectional Championships	33	Foxborough	13
2022	South Sectional Championships	34	Marthas Vineyard	12
2022	South Sectional Championships	35	King Philip	9
2022	South Sectional Championships	36	Apponequet	6
2022	South Sectional Championships	37	Mansfield	3.5
2022	South Sectional Championships	38	Ashland	3
2022	South Sectional Championships	38	Franklin	3
2022	South Sectional Championships	40	Plymoutn North	2
2022	South Sectional Championships	40	North Attleborough	2
2020	South Sectional Championships	1	Natick	197
2020	South Sectional Championships	2	Bishop Feehan	191
2020	South Sectional Championships	3	Framingham	186
2020	South Sectional Championships	4	Ashland	180
2020	South Sectional Championships	5	Nantucket	176
2020	South Sectional Championships	6	Brookline	159
2020	South Sectional Championships	7	Duxbury	148.5
2020	South Sectional Championships	8	Boston College High	117.5
2020	South Sectional Championships	9	Newton North	112
2020	South Sectional Championships	10	Wellesley	89
2020	South Sectional Championships	11	Needham	85
2020	South Sectional Championships	12	Catholic Memorial	82
2020	South Sectional Championships	13	Norwell	77
2020	South Sectional Championships	14	Seekonk	76
2020	South Sectional Championships	15	Taunton	57
2020	South Sectional Championships	16	Old Rochester	40
2020	South Sectional Championships	17	King Philip	35
2020	South Sectional Championships	18	Hopkinton	31
2020	South Sectional Championships	19	Xaverian Brothers	28
2020	South Sectional Championships	20	Boston Latin Academy	25.5
2020	South Sectional Championships	21	Sharon	25
2020	South Sectional Championships	22	Cohasset	24
2020	South Sectional Championships	22	Scituate	24
2020	South Sectional Championships	24	Sandwich	23
2020	South Sectional Championships	25	Holliston	22
2020	South Sectional Championships	26	Nauset	21
2020	South Sectional Championships	27	North Quincy	17.5
2020	South Sectional Championships	28	St. John Paul II	11
2020	South Sectional Championships	28	Bishop Stang	11
2020	South Sectional Championships	30	Middleboro	9
2020	South Sectional Championships	30	Barnstable	9
2020	South Sectional Championships	32	Apponequet	7
2020	South Sectional Championships	33	East Boston	5
2020	South Sectional Championships	33	Oliver Ames	5
2020	South Sectional Championships	35	O'Bryant	3
2020	South Sectional Championships	36	Hingham	2
2020	South Sectional Championships	36	Westwood	2
2020	South Sectional Championships	38	New Bedford	1
2020	South Sectional Championships	38	Canton	1
2019	South Sectional Championships	1	Nantucket	228
2019	South Sectional Championships	2	Natick	213
2019	South Sectional Championships	3	Needham	195.5
2019	South Sectional Championships	4	Ashland	167
2019	South Sectional Championships	5	Bishop Feehan	151
2019	South Sectional Championships	6	King Philip	137
2019	South Sectional Championships	7	Wellesley	124
2019	South Sectional Championships	8	Boston College High	107
2019	South Sectional Championships	9	Oliver Ames	98.5
2019	South Sectional Championships	10	Framingham	94
2019	South Sectional Championships	11	Newton North	85
2019	South Sectional Championships	12	Seekonk	75
2019	South Sectional Championships	13	Norwell	72
2019	South Sectional Championships	14	Duxbury	65
2019	South Sectional Championships	15	Bishop Stang	63
2019	South Sectional Championships	16	Catholic Memorial	57
2019	South Sectional Championships	17	Brookline	55.5
2019	South Sectional Championships	18	Old Rochester	55
2019	South Sectional Championships	19	Cohasset	51
2019	South Sectional Championships	20	Attleboro	37
2019	South Sectional Championships	21	Hopkinton	30
2019	South Sectional Championships	22	Sharon	27
2019	South Sectional Championships	23	Taunton	24
2019	South Sectional Championships	24	Xaverian Brothers	21
2019	South Sectional Championships	25	Milford	17
2019	South Sectional Championships	26	Dover-Sherborn	16
2019	South Sectional Championships	27	Bridgewater-Raynham	15
2019	South Sectional Championships	28	Barnstable	9
2019	South Sectional Championships	28	Holliston	9
2019	South Sectional Championships	30	Hingham	6
2019	South Sectional Championships	31	Scituate	4.5
2019	South Sectional Championships	32	Medfield	3
2019	South Sectional Championships	32	Middleboro	3
2019	South Sectional Championships	32	Apponequet	3
2019	South Sectional Championships	35	Franklin	2
2019	South Sectional Championships	35	Boston Latin Academy	2
2018	South Sectional Championships	1	Needham	247
2018	South Sectional Championships	2	Natick	240
2018	South Sectional Championships	3	Ashland	175
2018	South Sectional Championships	4	Wellesley	148
2018	South Sectional Championships	5	Framingham	146
2018	South Sectional Championships	6	Nantucket	136
2018	South Sectional Championships	7	Boston College High	124
2018	South Sectional Championships	8	King Philip	118
2018	South Sectional Championships	9	Old Rochester	110
2018	South Sectional Championships	10	Nauset	100
2018	South Sectional Championships	11	Catholic Memorial	91
2018	South Sectional Championships	12	Brookline	79
2018	South Sectional Championships	13	North Attleborough	68
2018	South Sectional Championships	14	Bishop Feehan	54
2018	South Sectional Championships	15	Newton North	49
2018	South Sectional Championships	16	Holliston	47
2018	South Sectional Championships	17	Cohasset	46.5
2018	South Sectional Championships	18	Duxbury	46
2018	South Sectional Championships	19	Scituate	42
2018	South Sectional Championships	20	Bishop Stang	41
2018	South Sectional Championships	21	Oliver Ames	40
