year	division	place	school	score
2023	Division 1 State Championships	1	Westford Academy	220
2023	Division 1 State Championships	2	Minnechaug	213
2023	Division 1 State Championships	2	Boston College High	213
2023	Division 1 State Championships	4	Saint John's Prep	164.5
2023	Division 1 State Championships	5	Xaverian Brothers	163
2023	Division 1 State Championships	6	Needham	151
2023	Division 1 State Championships	7	Lincoln-Sudbury	147
2023	Division 1 State Championships	8	Acton-Boxborough	114
2023	Division 1 State Championships	9	Lexington	103.5
2023	Division 1 State Championships	10	Newton South	98
2023	Division 1 State Championships	11	Brookline	84
2023	Division 1 State Championships	12	Chelmsford	76
2023	Division 1 State Championships	13	Reading	69
2023	Division 1 State Championships	14	Boston Latin School	49
2023	Division 1 State Championships	15	Attleboro	46
2023	Division 1 State Championships	16	Westfield	43
2023	Division 1 State Championships	17	Belmont	33
2023	Division 1 State Championships	18	Haverhill	32
2023	Division 1 State Championships	19	Lowell	31
2023	Division 1 State Championships	20	Wellesley	27
2023	Division 1 State Championships	21	Masconomet	26
2023	Division 1 State Championships	22	Plymouth North	25
2023	Division 1 State Championships	23	Beverly	24
2023	Division 1 State Championships	24	Waltham	21
2023	Division 1 State Championships	25	Framingham	20
2023	Division 1 State Championships	26	Newton North	18
2023	Division 1 State Championships	27	Sharon	16
2023	Division 1 State Championships	28	Concord-Carlisle	15
2023	Division 1 State Championships	28	Andover	15
2023	Division 1 State Championships	28	Saint John's	15
2023	Division 1 State Championships	28	Watertown	15
2023	Division 1 State Championships	32	Westborough	11
2023	Division 1 State Championships	33	Peabody Vet. Mem	7
2023	Division 1 State Championships	34	Quincy	6
2023	Division 1 State Championships	35	Natick	4
2023	Division 1 State Championships	36	Cambridge Rindge & Latin	3
2023	Division 1 State Championships	37	Taunton	2
2023	Division 1 State Championships	37	Dover-Sherborn	2
2023	Division 1 State Championships	37	Catholic Memorial	2
2023	Division 1 State Championships	40	Hopkinton	1
2023	Division 2 State Championships	1	Weston	326
2023	Division 2 State Championships	2	Wayland	213
2023	Division 2 State Championships	3	Mystic Valley Reg. Charter	176
2023	Division 2 State Championships	4	Longmeadow	149
2023	Division 2 State Championships	5	Duxbury	132
2023	Division 2 State Championships	6	Westwood	130
2023	Division 2 State Championships	7	Cohasset	129
2023	Division 2 State Championships	8	Triton	104
2023	Division 2 State Championships	9	Marblehead	103
2023	Division 2 State Championships	10	Holliston	87
2023	Division 2 State Championships	11	Belchertown	83
2023	Division 2 State Championships	12	Amherst-Pelham	81
2023	Division 2 State Championships	13	Nauset	70
2023	Division 2 State Championships	14	Hanover	54
2023	Division 2 State Championships	15	Sandwich	48
2023	Division 2 State Championships	16	Nantucket	43
2023	Division 2 State Championships	17	East Longmeadow	41
2023	Division 2 State Championships	18	Seekonk	30
2023	Division 2 State Championships	19	Melrose	29
2023	Division 2 State Championships	20	Scituate	28
2023	Division 2 State Championships	21	Bromfield School	26
