year,division,rank,school,score
2021,South,1,Wellesley,390.5
2021,South,2,Needham,329
2021,South,3,Brookline,304
2021,South,4,Ursuline Academy,222
2021,South,5,Framingham,221
2021,South,6,Milton,196
2021,South,7,Newton North,190
2021,South,8,Natick,110
2021,South,9,Braintree,81
2021,South,10,Boston Latin School,69
2021,South,11,Notre Dame Academy-Hingham,60
2021,South,12,Walpole,51.5
2021,South,13,Notre Dame Hingham,32
2021,South,14,Weymouth,16
2019,South,1,Wellesley,352
2019,South,2,Ursuline Academy,255
2019,South,3,Needham,244
2019,South,4,Newton North,234
2019,South,5,Brookline,194.5
2019,South,6,Natick,186
2019,South,7,Framingham,179.5
2019,South,8,Marshfield,160
2019,South,9,Boston Latin School,139
2019,South,10,Notre Dame Academy-Hingham,138
2019,South,11,Milton,88
2019,South,12,Walpole,85
2019,South,13,Braintree,24
2019,South,14,Mount Alvernia,8
2019,South,14,Weymouth,8
2018,South,1,Wellesley,352
2018,South,2,Ursuline Academy,255
2018,South,3,Needham,244
2018,South,4,Newton North,234
2018,South,5,Brookline,194.5
2018,South,6,Natick,186
2018,South,7,Framingham,179.5
2018,South,8,Marshfield,160
2018,South,9,Boston Latin School,139
2018,South,10,Notre Dame Academy-Hingham,138
2018,South,11,Milton,88
2018,South,12,Walpole,85
2018,South,13,Braintree,24
2018,South,14,Mount Alvernia,8
2018,South,14,Weymouth,8
2017,South,1,Wellesley,376
2017,South,2,Newton North,332
2017,South,3,Brookline,268
2017,South,4,Natick,233
2017,South,5,Ursuline Academy,176
2017,South,5,Framingham,176
2017,South,7,Needham,168
2017,South,8,Boston Latin School,157
2017,South,9,Marshfield,144
2017,South,10,Notre Dame Academy-Hingham,119
2017,South,11,Braintree,46
2017,South,12,Walpole,35
2017,South,13,Norwood,32
2017,South,14,Milton,31
2016,South,1,Framingham,300
2016,South,2,Newton North,292
2016,South,3,Brookline,263
2016,South,4,Notre Dame Academy-Hingham,251
2016,South,5,Natick,242
2016,South,6,Wellesley,240
2016,South,7,Ursuline Academy,205
2016,South,8,Needham,179
2016,South,9,Marshfield,153
2016,South,10,Braintree,49
2016,South,11,Dedham,33
2016,South,12,Norwood,24
2016,South,13,Walpole,20
2015,South,1,Bishop Feehan,350
2015,South,2,Brookline,267.5
2015,South,3,Newton North,235.5
2015,South,4,Framingham,235
2015,South,5,Wellesley,213
2015,South,6,Needham,202
2015,South,7,Ursuline Academy,172.5
2015,South,8,Natick,144
2015,South,9,Notre Dame Academy-Hingham,133.5
2015,South,10,Marshfield,90
2015,South,11,New Bedford,71
2015,South,12,Braintree,53
2015,South,13,Advanced Math & Science,38
2015,South,14,Durfee,36
2015,South,15,Brockton,35
2015,South,16,Walpole,18
2015,South,17,Mount Alvernia,11
2015,South,18,Norwood,6
2014,South,1,Newton North,313
2014,South,2,Bishop Feehan,295
2014,South,3,Framingham,269
2014,South,4,Needham,209
2014,South,5,Natick,207
2014,South,6,Westwood,161
2014,South,7,Ursuline Academy,133
2014,South,8,Wellesley,131
2014,South,9,Bishop Stang,121
2014,South,10,Marshfield,81
2014,South,11,Walpole,77
2014,South,12,Brookline,71
2014,South,13,Brockton,51
2014,South,13,Durfee,51
2014,South,15,Notre Dame Academy,48
2014,South,16,New Bedford,45
2014,South,17,Deedham,27
2014,South,18,Braintree,18
2014,South,19,Norwood,14
