date	title	url
2022-02-14	Needham boys swim and dive wins sectional championship	https://www.wickedlocal.com/story/needham-times/2022/02/14/needham-boys-swim-and-dive-wins-sectional-championship/6791162001/
2022-01-18	Needham swim and dive (6-1) defeats Brookline	https://www.wickedlocal.com/story/needham-times/2022/01/18/needham-swim-and-dive-6-1-defeats-brookline/6561232001/
2021-09-29	Acton-Boxborough girls swim and dive defeats talented Andover, Needham squads	https://www.wickedlocal.com/story/the-beacon/2021/09/29/acton-boxborough-girls-swim-and-dive-defeats-talented-andover-needham-squads/5920982001/
2020-02-26	Needham swimmers compete in state championship	https://www.wickedlocal.com/story/needham-times/2020/02/26/needham-swimmers-compete-in-state/1633892007/
2020-02-21	Needham resident breaks swimming records at state meet	https://www.wickedlocal.com/story/needham-times/2020/02/21/strong-needham-resident-breaks/1663493007/
2020-02-19	Boys swim team a force in wake of strong 2019 season	https://www.wickedlocal.com/story/needham-times/2020/02/19/boys-swim-team-force-in/1679352007/
2019-10-21	Needham High School swimmers on cusp of historic season	https://www.wickedlocal.com/story/needham-times/2019/10/21/needham-high-school-swimmers-on/2482221007/
2018-12-08	Athlete of the Week: Needham girl Swim and Dive Team	https://www.wickedlocal.com/story/needham-times/2018/12/08/athlete-week-needham-girl-swim/6709105007/
2018-01-04	Boys swimming off to undefeated start	https://www.wickedlocal.com/story/needham-times/2018/01/04/boys-swimming-off-to-undefeated/64660917007/
2017-11-30	Solid season of swimming and diving	https://www.wickedlocal.com/story/needham-times/2017/11/30/solid-season-swimming-diving/64780999007/
2017-10-19	Rockets ready for what's ahead	https://www.wickedlocal.com/story/needham-times/2017/10/19/rockets-ready-for-what-s/18259853007/
2017-02-22	Fantastic finish for swimmers	https://www.wickedlocal.com/story/needham-times/2017/02/22/fantastic-finish-for-swimmers/64803618007/
2017-01-10	Swimmers start season right	https://www.wickedlocal.com/story/needham-times/2017/01/10/swimmers-start-season-right/22746224007/
2015-11-24	NEEDHAM HIGH ROUNDUP: Swimmers eighth, boys XC ninth at states	https://www.wickedlocal.com/story/needham-times/2015/11/24/needham-high-roundup-swimmers-eighth/32960453007/
2015-11-11	Swimmers fourth at BSC Championships	https://www.wickedlocal.com/story/needham-times/2015/11/11/swimmers-fourth-at-bsc-championships/64712563007/
2015-10-22	Needham swimmers making a splash in BSC	https://www.wickedlocal.com/story/needham-times/2015/10/22/needham-swimmers-making-splash-in/64713079007/
2015-03-12	Needham Times sports cartoon: Nathan Lai (boys swimming)	https://www.wickedlocal.com/story/needham-times/2015/03/12/needham-times-sports-cartoon-nathan/35025785007/
2015-02-04	Needham High boys swimming team places fourth at Bay State Conference Meet	https://www.wickedlocal.com/story/needham-times/2015/02/04/needham-high-boys-swimming-team/64839654007/
2015-01-22	Needham High: Rockets swim team improves to 4-1	https://www.wickedlocal.com/story/needham-times/2015/01/22/needham-high-rockets-swim-team/64839997007/
2014-11-20	Rocket roundup: Girls swimming team takes a last lap at States	https://www.wickedlocal.com/story/needham-times/2014/11/20/rocket-roundup-girls-swimming-team/64841261007/
2014-10-15	Newton North 102, Needham 82: Tigers win BSC girls swimming &amp; diving showdown	https://www.wickedlocal.com/story/newton-tab/2014/10/15/newton-north-102-needham-82/36161788007/
2014-09-25	Rocket Roundup: Girls swimming team earns big win over Framingham	https://www.wickedlocal.com/story/needham-times/2014/09/25/rocket-roundup-girls-swimming-team/36325567007/
2014-02-09	Needham High boys swim team finishes second at Bay State Conference Championship Meet	https://www.wickedlocal.com/story/needham-times/2014/02/09/needham-high-boys-swim-team/39101708007/
2014-01-23	Needham High boys swimming: Rockets beat Eagles, fall to Flyers	https://www.wickedlocal.com/story/needham-times/2014/01/23/needham-high-boys-swimming-rockets/40385724007/
2014-01-16	Needham High boys swimming now 2-2 on season	https://www.wickedlocal.com/story/needham-times/2014/01/16/needham-high-boys-swimming-now/40355641007/
2014-01-09	Needham High boys swimming dives into season	https://www.wickedlocal.com/story/needham-times/2014/01/09/needham-high-boys-swimming-dives/40355534007/
2013-11-20	Needham High Sports Roundup: Swimmers finish 7th in States	https://www.wickedlocal.com/story/needham-times/2013/11/20/needham-high-sports-roundup-swimmers/39772810007/
2013-11-14	Needham High girls swimming receives MIAA sportsmanship award	https://www.wickedlocal.com/story/needham-times/2013/11/14/needham-high-girls-swimming-receives/39772808007/
2013-11-11	Needham High girls swim team finishes fourth at State Sectional Meet	https://www.wickedlocal.com/story/needham-times/2013/11/11/needham-high-girls-swim-team/39604873007/
