year,school,rank,score
2021,Wellesley,1,488.0
2021,Needham,2,484.0
2021,Brookline,3,370.5
2021,Newton North,4,271.5
2021,Framingham,5,255.0
2021,Milton,6,214.0
2021,Natick,7,91.0
2021,Braintree,8,75.0
2021,Walpole,9,66.0
2021,Weymouth,10,10.0
2019,Wellesley,1,524.5
2019,Needham,2,481.5
2019,Brookline,3,327.5
2019,Framingham,4,309.5
2019,Newton North,5,286.0
2019,Milton,6,168.0
2019,Natick,7,124.5
2019,Braintree,8,78.0
2019,Walpole,9,20.5
2019,Weymouth,10,5.0
2018,Wellesley,1,422.5
2018,Needham,2,398.0
2018,Framingham,3,357.0
2018,Newton North,4,325.5
2018,Brookline,5,299.5
2018,Milton,6,197.0
2018,Natick,7,195.5
2018,Walpole,8,80.0
2018,Braintree,9,22.0
2018,Weymouth,10,8.0
2017,Newton North,1,507.0
2017,Wellesley,2,465.5
2017,Brookline,3,378.5
2017,Natick,4,324.5
2017,Needham,5,267.5
2017,Framingham,6,260.5
2017,Braintree,7,43.5
2017,Milton,8,40.0
2017,Walpole,9,20.0
2017,Norwood,10,18.0
2016,Framingham,1,511.0
2016,Newton North,2,451.0
2016,Needham,3,370.0
2016,Wellesley,4,314.0
2016,Brookline,5,307.0
2016,Natick,6,264.0
2016,Dedham,7,34.0
2016,Braintree,8,26.0
2016,Norwood,9,24.0
2016,Walpole,10,20.0
2016,Weymouth,11,4.0
2015,Framingham,1,491.0
2015,Newton North,2,438.0
2015,Brookline,5,415.0
2015,Needham,3,383.0
2015,Wellesley,4,277.0
2015,Natick,6,210.0
2015,Braintree,8,58.0
2015,Walpole,10,33.0
2015,Norwood,9,18.0
2015,Weymouth,11,2.0
2014,Framingham,1,553.0
2014,Newton North,2,487.0
2014,Needham,3,387.5
2014,Wellesley,4,272.0
2014,Natick,5,243.0
2014,Brookline,6,168.0
2014,Walpole,7,119.0
2014,Dedham,8,38.5
2014,Braintree,9,35.0
2014,Norwood,10,20.0
2014,Weymouth,11,2.0
2013,Framingham,1,571.0
2013,Needham,2,473.0
2013,Newton North,3,446.5
2013,Natick,4,255.0
2013,Wellesley,5,213.0
2013,Walpole,6,157.0
2013,Brookline,7,97.0
2013,Dedham,8,68.5
2013,Norwood,9,29.0
2013,Braintree,10,13.0
2013,Weymouth,11,2.0
2012,Framingham,1,
2012,Natick,2,
2012,Needham,3,
2011,Framingham,1,
2011,Walpole,2,
2011,Needham,3,
2010,Framingham,1,
2010,Needham,2,
2010,Walpole,3,
2009,Framingham,1,
2009,Walpole,2,
2009,Needham,3,
2008,Framingham,1,
2008,Walpole,2,
2008,Brookline,3,
2007,Framingham,1,
2007,Brookline,2,
2007,Wellesley,3,
2006,Framingham,1,
2006,Needham,2,
2006,Natick,3,
2005,Framingham,1,
2005,Needham,2,
2005,Dedham,3,
2004,Framingham,1,
2004,Walpole,2,
2004,Natick,3,
2003,Needham,1,
2003,Framingham,2,
2003,Wellesley,3,
2002,Needham,1,
2002,Brookline,2,
2002,Wellesley,3,
2001,Needham,1,
2001,Brookline,2,
2001,Dedham,3,
2000,Needham,1,
2000,Brookline,2,
2000,Newton North,3,
1999,Needham,1,
1999,Wellesley,2,
1999,Brookline,3,
1998,Needham,1,
1998,Framingham,2,
1998,Brookline,3,
1997,Natick,1,
1997,Needham,2,
1997,Framingham,3,
1996,Needham,1,
1996,Natick,2,
1996,Framingham,3,
1995,Natick,1,
1995,Newton North,2,
1995,Needham,3,
1994,Natick,1,
1994,Needham,2,
1994,Newton North,3,
1993,Natick,1,
1993,Needham,2,
1993,Wellesley,3,
1992,Wellesley,1,
1992,Needham,2,
1992,Newton North,3,
1991,Wellesley,1,
1991,Needham,2,
1991,Newton North,3,
1990,Wellesley,1,
1990,Needham,2,
1990,Brookline,3,
